City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,mizan teferi,6.9833,35.5833,20.01,63,97,1.67,ET,1678226472
167,felipe carrillo puerto,19.5833,-88.05,30.05,37,99,3.14,MX,1678226473
168,nemuro,43.3236,145.575,0.43,91,25,4.04,JP,1678226309
169,dikson,73.5069,80.5464,-37.88,99,44,2.8,RU,1678226186
170,sur,22.5667,59.5289,24.53,47,5,3.32,OM,1678226205
171,saint george,37.1041,-113.5841,14.97,33,0,2.24,US,1678226191
172,severo-kurilsk,50.6789,156.125,0.62,93,97,3.83,RU,1678226181
173,odesskoye,54.2111,72.9651,-3.37,95,100,9.8,RU,1678226474
174,kidal,18.4411,1.4078,26.0,7,94,5.03,ML,1678226288
175,fort nelson,58.8053,-122.7002,-11.7,55,100,1.34,CA,1678226254
176,san quintin,30.4833,-115.95,14.73,61,92,9.74,MX,1678226474
177,ban tak,17.0432,99.0813,21.79,50,1,1.13,TH,1678226475
178,dingli,35.8614,14.3822,12.12,82,20,4.12,MT,1678226475
179,vangaindrano,-23.35,47.6,23.03,92,100,0.47,MG,1678226320
180,taoudenni,22.6783,-3.9836,27.94,9,0,2.44,ML,1678226475
181,gillette,44.2911,-105.5022,-2.21,81,100,4.63,US,1678226350
182,kuala lipis,4.1842,102.0468,20.27,95,4,0.62,MY,1678226476
183,cayenne,4.9333,-52.3333,27.02,78,40,3.6,GF,1678226040
184,shimanovsk,52.0,127.7,-16.55,94,5,1.18,RU,1678226476
185,sinnamary,5.3833,-52.95,25.12,84,100,4.71,GF,1678226477
186,buala,-8.145,159.5921,27.6,79,100,1.76,SB,1678226283
187,huzhou,30.8703,120.0933,13.68,58,100,1.83,CN,1678226477
188,san pedro,14.35,121.0167,23.57,83,20,0.0,PH,1678226477
189,innisfail,-17.5333,146.0333,24.54,88,70,0.86,AU,1678226478
190,klamath falls,42.2249,-121.7817,2.71,67,100,2.24,US,1678226189
191,omsukchan,62.5333,155.8,-25.34,96,97,1.65,RU,1678226286
192,bismarck,46.8083,-100.7837,-11.31,80,100,6.69,US,1678226106
193,halifax,44.6453,-63.5724,1.49,78,100,4.92,CA,1678226185
194,taboga,46.2663,13.1092,7.71,92,100,1.37,IT,1678226478
195,zlotow,53.3635,17.0408,-0.35,75,98,7.17,PL,1678226479
196,norman wells,65.282,-126.8329,-18.98,65,0,5.14,CA,1678226225
197,northam,51.0333,-4.2167,4.03,84,100,6.97,GB,1678226479
198,washington,47.5001,-120.5015,5.74,71,97,1.81,US,1678226472
199,acapulco,16.8634,-99.8901,28.56,60,1,5.02,MX,1678226480
200,port elizabeth,-33.918,25.5701,21.84,93,20,6.69,ZA,1678226192
201,san andres,12.5847,-81.7006,29.01,61,20,6.17,CO,1678226480
202,karratha,-20.7377,116.8463,29.26,74,94,4.51,AU,1678226201
203,codrington,-38.2667,141.9667,12.36,63,100,5.21,AU,1678226480
204,bakal,54.9417,58.8083,-8.61,94,100,3.85,RU,1678226481
205,dingle,10.9995,122.6711,22.35,95,1,3.1,PH,1678226279
206,itoman,26.1247,127.6694,17.01,77,40,3.6,JP,1678226481
207,chimbote,-9.0853,-78.5783,26.18,67,91,3.46,PE,1678226481
208,nanortalik,60.1432,-45.2371,-1.14,84,43,2.27,GL,1678226216
209,bambous virieux,-20.3428,57.7575,25.14,88,75,3.09,MU,1678226233
210,rach gia,10.0167,105.0833,22.98,72,46,2.43,VN,1678226482
211,ostrovnoy,68.0531,39.5131,-13.86,95,97,2.34,RU,1678226265
212,roros,62.5747,11.3842,-22.42,100,70,1.01,NO,1678226482
213,axim,4.8699,-2.2405,25.9,87,100,3.65,GH,1678226208
214,bull savanna,17.8868,-77.5902,24.79,69,47,1.77,JM,1678226483
215,urumqi,43.801,87.6005,-0.47,86,17,1.0,CN,1678226483
216,mehamn,71.0357,27.8492,-7.03,79,100,9.77,NO,1678226183
217,hasaki,35.7333,140.8333,3.22,61,0,3.55,JP,1678226192
218,totma,59.9747,42.7642,-16.31,100,94,1.41,RU,1678226484
219,faya,18.3851,42.4509,16.06,59,80,1.36,SA,1678226214
220,alice springs,-23.7,133.8833,15.75,55,3,2.57,AU,1678226196
221,huarmey,-10.0681,-78.1522,25.76,71,93,3.73,PE,1678226331
222,namatanai,-3.6667,152.4333,25.73,86,100,1.4,PG,1678226273
223,sieradz,51.5958,18.7302,4.25,92,100,4.93,PL,1678226485
224,estevan,49.1334,-102.9842,-12.81,72,75,8.75,CA,1678226465
225,waddan,29.1614,16.139,19.73,21,5,3.71,LY,1678226269
226,rye,40.9807,-73.6837,6.79,47,37,6.26,US,1678226485
227,lantawan,10.6167,123.9833,23.83,92,12,3.19,PH,1678226486
228,ust-nera,64.5667,143.2,-27.7,99,100,1.23,RU,1678226486
229,dwarka,22.2394,68.9678,23.29,69,0,3.16,IN,1678226486
230,thompson,55.7435,-97.8558,-13.91,56,20,2.57,CA,1678226187
231,zyryanka,65.75,150.85,-26.83,91,100,2.28,RU,1678226171
